time,x,y,z
27,-0.55905,9.93834,-0.94989
86,-0.00119,9.95988,-1.43352
130,-0.12569,9.96466,-1.30663
177,0.12331,9.96945,-1.45029
227,-0.30525,9.94072,-1.38084
278,0.05626,10.07001,-0.88765
331,-0.26456,9.87608,-0.96904
377,0.06345,9.97903,-1.45268
428,-0.19273,9.92397,-1.28987
478,0.03232,9.92636,-1.13185
528,-0.16879,9.93115,-1.17017
579,-0.01317,9.99818,-1.12466
628,0.01556,9.94791,-1.44310
677,-0.05386,9.93594,-1.31142
727,0.02992,10.06044,-0.94272
777,-0.32681,10.20169,-1.25635
828,-0.24062,10.20648,-1.30183
878,-0.02036,10.18494,-1.20607
928,0.02754,10.30943,-1.44310
978,0.28133,10.19930,-1.79265
1029,0.24780,9.98143,-1.98180
1078,-0.37709,10.20409,-0.47585
1128,-0.01796,10.09874,-0.06644
1179,-0.21188,9.92876,-0.43993
1227,0.70509,10.18733,-0.85652
1278,-0.03711,10.24480,-1.36409
1328,0.44412,10.32379,-0.53809
1383,-0.21907,10.21367,-0.34895
1427,0.41061,9.90721,-0.41599
1477,1.17197,9.85933,-0.59555
1528,-0.41779,9.56004,-1.69209
1578,0.11612,9.45949,-1.60112
1628,1.18153,9.28711,-2.19489
1678,0.03951,9.35175,-0.26515
1728,-0.25020,10.04128,0.41479
1778,-0.20230,10.22324,0.96068
1828,-0.47285,9.92157,0.60634
1878,0.32681,10.03410,-0.13347
1928,-0.49200,10.26874,0.29269
1978,0.04909,10.18254,1.09236
2028,-0.58777,10.00777,1.38684
2077,-0.49200,9.83539,0.97983
2127,-0.19992,9.85454,0.53931
2178,-0.67157,9.92157,0.09877
2229,0.01796,9.78271,0.99660
2278,0.38667,9.79228,0.52972
2327,0.22386,10.01016,1.13545
2381,0.14246,10.05804,0.60394
2427,0.28610,9.93115,0.33578
2478,0.39624,9.64145,0.54169
2528,0.11133,9.55048,-0.31064
2578,0.09937,9.84256,0.37410
2627,-0.22864,10.24240,0.26636
2678,-0.18076,10.19930,0.30228
2728,0.39864,10.32858,0.43874
2778,0.43216,9.57921,0.35735
2828,-0.31244,10.00058,0.44832
2877,-0.42258,10.09874,-0.11911
2928,-0.19992,10.10114,-0.31543
2978,0.08499,9.96466,0.51297
3028,0.32681,9.89523,0.29269
3078,0.29089,9.85933,-0.10234
3128,0.33160,9.81622,-0.06644
3178,-0.26456,9.74680,-0.49260
3228,-0.15921,9.78511,-0.22923
3278,0.28850,9.89763,-0.55006
3327,-0.12091,10.09395,-1.07918
3386,-0.86311,10.39323,-0.74638
3427,0.17838,10.36211,-1.18932
3478,-1.24858,10.39084,-1.32817
3528,-0.82001,10.07001,-1.11989
3577,-0.80804,10.09874,-0.27951
3627,-1.09296,10.03171,-0.64343
3677,-0.76256,10.05325,-1.20607
3728,-1.06662,10.09157,-0.47824
3777,-0.35553,9.94312,-0.73682
3828,-0.37949,10.05086,-0.51894
3878,-0.20470,9.91917,-0.60513
3928,-0.29329,9.92397,0.06525
3978,-0.70270,9.88327,0.16820
4028,-0.29089,9.89523,0.05328
4078,-0.39145,9.94551,-0.60034
4128,-0.34596,9.91438,-0.75597
4178,-0.65482,9.95509,-0.47345
4228,-0.04907,9.90242,-1.16777
4278,-0.48961,10.04607,-0.91876
4328,-0.20230,10.22803,-0.95229
4378,-0.66438,10.09874,-1.32579
4434,-0.81761,10.26634,-0.55246
4478,-0.86551,10.09874,-1.30902
4528,-0.74339,10.00777,-0.93314
4578,-0.64284,9.98383,-0.63387
4628,-0.10654,10.07719,-0.91399
4677,-0.14246,10.18733,-0.61710
4727,-0.38426,10.14662,-0.66258
4777,-0.27174,10.08678,-0.69611
4828,-0.56622,10.03650,-0.67935
4878,-0.51115,9.84256,-0.55486
4928,-0.48961,9.74919,-0.67216
4978,-0.37230,9.71327,-0.23163
5028,-0.46806,9.76834,-0.35852
5078,-0.25977,9.90482,-0.26994
5127,-0.32921,9.94072,-1.18452
5178,-0.45848,10.07240,-0.41599
5228,-0.51595,10.10114,-1.06003
5277,-0.48004,10.17775,-0.95229
5328,-0.64284,10.35252,-0.78709
5377,-0.34836,10.04846,-1.76392
5431,-0.64523,10.12987,-0.83977
5477,-0.54228,9.99818,-0.55486
5528,-0.53749,9.80426,-0.88765
5578,-0.51834,9.70370,-0.55725
5628,-0.79846,9.78989,-0.27951
5678,-0.92056,9.86650,-0.32979
5728,-0.88705,9.74440,-0.77032
5778,-0.75537,9.94551,-0.52133
5827,-0.81523,10.04367,-0.74638
5877,-0.74818,10.10353,-0.61230
5928,-0.28610,10.35013,-0.74159
5978,0.41779,10.18015,-1.86926
6028,-0.00598,10.05325,-1.24199
6078,-0.21907,10.08917,-1.67294
6127,-0.62129,10.08199,-1.13185
6178,-0.53510,9.98143,-1.03130
6227,-0.20949,10.39323,-0.54527
6278,-0.39624,10.35492,-1.28029
6328,-0.23343,10.30225,-1.17734
6377,-0.86789,10.15860,-0.70090
6432,-0.49440,9.69652,-0.86131
6477,-1.23660,9.80426,-1.22044
6527,-0.48721,9.78989,-0.98820
6578,-0.66917,9.93355,-1.27312
6628,-0.42258,9.93355,-1.18692
6678,-0.83917,9.75638,-0.94032
6728,-0.44891,9.96706,-0.49260
6778,-0.31723,9.83060,-1.03130
6828,-0.40582,9.78511,-1.27789
6878,-0.47765,9.81143,-0.48064
6927,-0.50398,9.89044,-0.79187
6978,-0.41539,10.11789,-1.16298
7027,-0.66678,10.35013,-1.57478
7077,-0.48004,10.37407,-1.31860
7128,-0.84155,10.41478,-1.57239
7178,-0.32681,10.05565,-1.82138
7228,-0.33159,10.01495,-1.61548
7277,-1.08817,10.11551,-0.85652
7328,-1.02112,9.81622,-1.20128
7378,-1.72502,10.02931,-0.03052
7431,-0.65482,10.14902,-0.76793
7478,-0.32921,10.09634,-2.19009
7528,-0.40343,9.96945,-1.31621
7577,-0.49680,9.78511,-1.20128
7628,-0.72185,9.78032,-0.75117
7678,-0.83438,9.79228,-0.80385
7727,-1.04507,9.92397,-0.18854
7778,-1.11450,9.93834,-0.31543
7827,-1.00436,9.90482,-0.63387
7878,-0.96846,9.79468,-0.21487
7928,-0.59256,9.87608,0.20651
7977,-0.88466,9.91678,-0.85413
8027,-0.64284,10.03171,-0.66258
8077,-0.79607,10.26155,-1.11510
8128,-0.78171,10.12268,-1.54845
8178,-0.96127,10.34535,-1.35451
8228,-0.87268,10.19930,-1.11270
8278,-0.88466,9.97424,-1.02650
8328,-0.70030,9.89523,-0.55725
8378,-0.30525,10.08199,-0.63626
8427,-0.36032,10.07240,-0.64104
8481,-0.52313,10.06523,-0.04250
8528,-0.37230,9.96945,-0.33218
8578,-0.36511,9.98862,-0.08798
8627,-0.21907,10.10593,-0.76076
8678,-0.37709,9.97424,-1.05284
8728,-0.37949,9.99339,-0.51894
8778,-0.62369,10.00777,-1.13664
8828,-0.68594,10.08917,-0.82300
8878,-0.45370,9.91438,-1.31860
8927,-0.59496,10.14662,-1.51492
8977,-0.35793,9.98862,-0.75117
9028,-0.44652,9.88805,-1.14861
9078,-0.44891,10.01256,-1.01933
9128,-0.66917,10.00777,-1.05524
9178,-0.89185,9.84496,-0.81821
9228,-0.86551,9.94072,-0.60753
9278,-0.88945,9.93834,-1.01215
9329,-0.75537,10.19690,-1.18692
9379,-0.64763,10.38126,-1.24918
9427,-0.39384,10.25676,-1.56520
9480,-0.55426,10.16579,-1.01215
9527,-0.82719,9.85454,-1.11270
9578,-1.17674,9.45709,-0.52133
9627,-0.85593,9.36372,-0.32501
9678,-0.40343,9.61272,-0.98102
9728,-0.06584,9.79947,-1.42635
9778,-0.60214,10.14902,-0.58597
9827,-0.31004,10.54407,-0.50697
9878,-0.12331,10.26874,-1.93152
9928,-0.40582,10.16818,-1.13425
9978,-0.08020,10.01733,-1.13425
10028,-0.31483,10.06044,-1.00975
10078,-0.79607,9.96945,-2.64020
10128,-0.60214,9.71567,-1.75195
10178,-0.78171,9.72525,-0.78709
10228,-0.43454,9.83060,-1.12228
10278,-0.47285,9.93115,-0.98341
10328,-0.19513,10.08917,-1.18452
10378,0.00121,9.80186,-0.42796
10428,-0.44652,9.80666,-0.06644
10482,-0.53749,9.89523,0.19933
10527,-0.25977,10.07719,-0.66258
10577,-0.30765,10.07001,-1.02890
10627,-0.14246,9.78989,-1.62985
10677,-0.03471,9.91438,-0.99300
10728,-0.22626,10.20648,-1.11749
10777,-0.69551,10.02213,-0.83977
10827,-0.35553,10.02692,-1.13664
10877,-0.41539,10.07240,-1.90279
10928,0.26695,9.89523,-1.95786
10978,-0.69312,9.99339,-1.94588
11029,-0.29808,9.97185,-1.23001
11078,-0.86551,9.79468,-1.37845
11127,-0.30765,10.19450,-0.67216
11177,-0.26456,10.07001,-1.61548
11228,-0.70749,9.96706,-1.21805
11278,-0.36032,9.80426,-0.31303
11327,-0.54228,10.05325,-0.28191
11378,-0.86311,10.22324,-0.01376
11427,-0.60214,10.15381,-0.42796
11488,-0.79846,10.16339,-0.54527
11527,-0.30765,10.27831,-0.42557
11579,-0.38426,10.18973,-0.69131
11628,-0.54468,9.97185,-0.86131
11678,-0.36990,10.19930,-0.50218
11728,-0.57341,10.14185,-1.08157
11778,-0.66917,9.97185,-0.43036
11828,-0.54468,9.99818,-0.07361
11877,-0.69551,9.74680,-0.32979
11928,-0.75058,10.00058,0.22327
11977,-0.65482,10.01973,-1.27789
12027,-0.37469,10.03889,-0.66020
12077,-0.51115,9.96706,-0.89722
12132,-0.27654,9.94072,-0.31303
12177,-0.53271,10.10353,0.19453
12228,-0.31004,9.89763,-0.54048
12278,-0.45610,10.33337,-0.69131
12327,-0.67636,10.25676,-0.90680
12378,-0.36511,9.99100,-0.48781
12427,-0.75777,9.93594,-0.41359
12481,-0.48482,10.18973,-0.43513
12527,-0.39145,10.45068,-0.78949
12578,-0.89902,9.96466,-1.40479
12628,-0.55666,10.15381,0.17299
12678,-0.42976,10.04367,-0.48541
12728,-0.65482,9.82820,-0.40640
12778,-0.84155,9.91200,-0.59555
12828,-0.48244,10.04607,-0.12628
12878,-0.58299,10.12987,-0.28191
12928,-0.59256,10.24718,-0.36810
12977,-0.33398,10.23761,-0.53091
13028,-0.65721,10.06044,-0.92595
13078,-0.11612,9.89284,-0.24121
13129,-0.59496,10.11551,-0.28430
13178,-0.57101,9.93115,-0.99060
13228,-0.37709,10.13705,-0.35852
13277,-0.32202,10.09395,-0.78709
13327,-0.59016,10.06761,-0.60034
13378,-0.50398,9.96228,-0.26036
13428,-0.55426,10.20648,-0.18854
13484,-0.59256,9.95030,-0.15501
13528,-0.34836,9.96228,-0.40640
13578,-0.34596,10.01495,-0.54527
13627,-0.43214,9.92636,-0.99777
13677,-0.17836,10.19212,-0.91876
13728,-0.54468,10.14902,-0.29628
